country	time	s_hat	s_var	C_ba2_bst	C_ba1_bst	C_ba2_ba1	C_ba1_ba1	C_ba2_ba2	C_ba1_ba2
NY	44633	0.11	3.9e-06	0.27701320129307455	0.2596586237652568	0.055475761682020626	0.07849448715642687	0.02024363635342351	0.012514444558575975
NY	44640	0.104	3.4e-06	0.27387931494133555	0.255516598316002	0.05411603995203073	0.0781937984434455	0.02528122601910464	0.015500181203699528
NY	44647	0.098	4.4e-06	0.27043986388809566	0.2510761836358094	0.05231705805273741	0.07730027972001396	0.030135271390849802	0.018271472168167213
NY	44654	0.092	6.8e-06	0.2663977382788176	0.24605601286608134	0.050206647740153244	0.0759511825592226	0.0342781680663221	0.020480570970477566
NY	44661	0.084	1.01e-05	0.26234678462109523	0.24104746662236848	0.04789872046796639	0.07426897049284774	0.03741479256784257	0.021949956294316484
SPAIN	44586	0.101	4.39e-05	0.386623928844936	0.3727553482977199	0.034419019518380264	0.043991291431199765	0.0013602817166066667	0.0008950910660717573
SPAIN	44593	0.09	1.73e-05	0.41368248961423026	0.39806694437548756	0.0441422392296082	0.05690906688947036	0.0028206625876086933	0.0018442202456668512
SPAIN	44600	0.086	8.3e-06	0.4292056791075531	0.4119742336413744	0.05082854896657535	0.0662882518178233	0.004846347612072124	0.003141589236885023
SPAIN	44607	0.084	4.8e-06	0.43661490239623263	0.41784396563220444	0.05532262124544578	0.07311701859781237	0.007656387607791584	0.004921124649958219
SPAIN	44614	0.083	3.5e-06	0.4389509679038699	0.4186703327711068	0.056631411016631036	0.07610077210990572	0.010171172003816727	0.006450110256148668
SPAIN	44621	0.079	2.7e-06	0.4365886900208505	0.41483457103008853	0.056636801919461965	0.07751267926070042	0.01299800622018129	0.008139036667043683
SPAIN	44628	0.072	3.5e-06	0.43070475301197153	0.40750479895145103	0.05605120220514201	0.07820236670535403	0.01657885688942741	0.01028107115560279
SPAIN	44635	0.069	4.1e-06	0.4274010498639381	0.4026666894295786	0.05506220702540206	0.07838160095674422	0.02128120769643025	0.013104233384606152
SPAIN	44642	0.069	6.4e-06	0.42290872930905565	0.39663493025075863	0.05358354708419126	0.07792187954390062	0.02627847007821008	0.016036261081611682
SPAIN	44649	0.076	1.07e-05	0.4170621471851025	0.389262027151004	0.05171115736910871	0.07691938092015667	0.03106995064565292	0.018740625962772556
SPAIN	44656	0.081	1.69e-05	0.41081524866709146	0.3814965176080449	0.04954424410687727	0.07547671220676061	0.034946182443275096	0.020749957860898595
SPAIN	44663	0.073	1.79e-05	0.40343682125406893	0.3726372312605661	0.04721501232025043	0.07373982385631253	0.038024244029131	0.022166938809299246
SWITZERLAND	44587	0.117	2.71e-05	0.3515894774880788	0.3397526191864166	0.03562127064536469	0.04559006863012484	0.0015252549336165098	0.0010029356248064808
SWITZERLAND	44594	0.109	1.24e-05	0.36176837723550587	0.3486821598519464	0.04517651873742964	0.058334369551435325	0.0030935000571369695	0.002020967258867432
SWITZERLAND	44601	0.097	6.2e-06	0.36545780276531903	0.35118047619954446	0.05143514384509978	0.06721034014758316	0.005205482500871993	0.0033710626449068664
SWITZERLAND	44608	0.087	3.6e-06	0.365973068470779	0.35050439200754785	0.0555571670347066	0.07359783712902644	0.008005249847082722	0.005135783792971394
SWITZERLAND	44615	0.084	3.2e-06	0.3641607588317857	0.34749078647540704	0.05664760970887628	0.0763197942224103	0.010565214875265459	0.006688418462747608
SWITZERLAND	44622	0.083	3.9e-06	0.36114725692571276	0.34325009941824186	0.05653441852361546	0.0775879670380563	0.013420412356295286	0.008388877482782317
SWITZERLAND	44629	0.079	5.3e-06	0.35729984143490445	0.3381495147697315	0.05590965539875521	0.07822874182672501	0.017182969426106698	0.01064432425705863
SWITZERLAND	44636	0.072	1.01e-05	0.3531739563469433	0.3327410194572886	0.05485230034772638	0.07832008358300788	0.021930593125447602	0.013485623134592487
SWITZERLAND	44643	0.071	2.96e-05	0.3486632720116964	0.3269294627313422	0.05331410926172677	0.07778012428914063	0.026864722182196748	0.016361883029767467
SWITZERLAND	44650	0.083	8.74e-05	0.3439477238587558	0.3209015323054789	0.05140001388995801	0.07671640412177508	0.03150796957796018	0.018953856056724023
SWITZERLAND	44657	0.076	0.0001409	0.338547865062848	0.3141995718301549	0.04920757690990993	0.07522982081368686	0.035220352564461085	0.020843303018030404
SWITZERLAND	44664	0.065	0.0001424	0.33265135334636314	0.3070210692843957	0.04686959370619016	0.07346754339251146	0.03825736077012164	0.022226359775733007
TX	44604	0.084	1.78e-05	0.17778697622959222	0.16840621796897232	0.05429912659008794	0.07128854960366827	0.006755503496706287	0.004371256055887153
TX	44611	0.093	1.32e-05	0.17779630583211206	0.16776187524389943	0.056452776545914386	0.07528667412043685	0.009277968185181009	0.005926345836247495
TX	44618	0.109	1.13e-05	0.17762795110480226	0.16692907016321493	0.05687400589511066	0.07720050137526017	0.012015841620095257	0.007577791417040905
