country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
NETHERLANDS	44381	06/20/2021	07/20/2021	0.122	8.8e-06	0.39	0.1	0.002159831823144508	0.03765535845320917	1411	169	1019	4734	262.56	0.006143991396442172	0.864883873116748	0.12897213548680986
NETHERLANDS	44388	06/27/2021	07/27/2021	0.114	2.27e-05	0.429	0.102	0.00405547593823828	0.03781099185695973	896	62	1902	4036	326.44	0.0026885143234200576	0.9275331532610784	0.0697783324155015
NORWAY	44335	05/05/2021	06/04/2021	0.072	5.24e-05	0.139	0.022	5.674540725658982e-05	0.010610981559887081	2552	1489	26	129	71.86	0.007860475620053764	0.01773271983696934	0.9744068045429769
NORWAY	44342	05/12/2021	06/11/2021	0.078	4.17e-05	0.171	0.023	8.179313836916269e-05	0.010938193022962088	2452	1304	35	191	62.09	0.007346832299045314	0.028393936227115713	0.964259231473839
NORWAY	44349	05/19/2021	06/18/2021	0.089	3.63e-05	0.205	0.023	0.00011793096320235424	0.011179905088620325	2169	1058	38	265	55.4	0.008058786162302933	0.07136095828019254	0.9205802555575046
NORWAY	44356	05/26/2021	06/25/2021	0.091	2.68e-05	0.235	0.023	0.00017018442934083603	0.011369405268351838	1886	827	49	329	43.34	0.010170402322966066	0.11972241362478257	0.8701071840522514
NORWAY	44363	06/02/2021	07/02/2021	0.076	1.53e-05	0.259	0.024	0.00024407418554681147	0.01152565220105985	1568	594	107	392	36.18	0.010591663722174127	0.18604736808450428	0.8033609681933216
NORWAY	44370	06/09/2021	07/09/2021	0.081	1.33e-05	0.275	0.024	0.00034559204811517377	0.011651606765270283	1355	338	175	493	33.05	0.010072855439247963	0.2703836414107573	0.7195435031499947
NORWAY	44377	06/16/2021	07/16/2021	0.093	1.41e-05	0.286	0.024	0.00048709150066085223	0.011744144447698437	1132	175	241	602	32.79	0.007441319355367071	0.37279588501072086	0.619762795633912
NORWAY	44384	06/23/2021	07/23/2021	0.109	1.74e-05	0.296	0.024	0.000691786269139507	0.011803477488557921	887	89	314	829	33.35	0.004377274693368571	0.5620923216256656	0.43353040368096585
